"header","digits2","digits6","digits6_des","notes","SICs","SIC_exclu","SIC","SIC_n"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0115","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0116","3"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0117","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0118","2"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0119","5"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0190","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0191","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0192","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0193","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0194","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0195","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0196","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0197","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0198","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0199","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0219","16"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0259","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0290","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0291","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0292","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0293","17"
"AGRICULTURE, FORESTRY, AND FISHERIES","2 Other agricultural products","020201","Food grains",,"011, 019, 0219, 0259,029",,"0294","17"
