"source","destination","flow","dest_output","flow_per"
"900000","160200",125.8,1127.5,0.111574279379157
"880000","160300",2476.4,10899,0.227213505826223
"890000","160300",89.1,10899,0.00817506193228737
"900000","160300",855.7,10899,0.0785117900724837
"880000","160400",138.4,649.1,0.213218302264674
"890000","160400",3.6,649.1,0.0055461408103528
"900000","160400",55.8,649.1,0.0859651825604683
"880000","170100",1287.8,9746.9,0.132124059957525
"890000","170100",60.2,9746.9,0.00617632272825206
"900000","170100",688.7,9746.9,0.0706583631718803
"880000","170600",337.2,1407.6,0.239556692242114
"890000","170600",7.8,1407.6,0.00554134697357204
"900000","170600",134,1407.6,0.0951974992895709
"880000","170700",134.8,1047.3,0.128711925904707
"890000","170700",3.5,1047.3,0.00334192685954359
"900000","170700",166.2,1047.3,0.158693784016041
"880000","170900",142.5,500.8,0.284544728434505
"890000","170900",2.5,500.8,0.00499201277955272
"900000","170900",76.6,500.8,0.152955271565495
"880000","171001",420.5,1913.7,0.2197314103569
"890000","171001",18.2,1913.7,0.00951037257668391
"900000","171001",266.1,1913.7,0.139050007838219
"880000","171100",406.6,1365.5,0.297766385939216
"890000","171100",9.7,1365.5,0.00710362504577078
"900000","171100",191.1,1365.5,0.139948736726474
"880000","180101",498.2,1478.9,0.336871999459057
"890000","180101",5.6,1478.9,0.00378659814727162
"900000","180101",168.4,1478.9,0.113868415714382
"880000","180102",597.2,1931.4,0.30920575748162
"890000","180102",8.1,1931.4,0.00419384902143523
"900000","180102",257.7,1931.4,0.133426529978254
"880000","180201",1072.9,3215.4,0.333675436959632
"890000","180201",12.1,3215.4,0.00376313988928283
"900000","180201",315.9,3215.4,0.0982459414069789
"880000","180202",362.7,1059.6,0.342298980747452
"890000","180202",5.1,1059.6,0.00481313703284258
"900000","180202",95.3,1059.6,0.0899395998489996
"880000","180203",72.2,181.3,0.398234969663541
"890000","180203",1.7,181.3,0.00937672366243795
"900000","180203",18.1,181.3,0.099834528405957
"880000","180300",1241,5595.6,0.22178139967117
"890000","180300",37.9,5595.6,0.00677317892629923
"900000","180300",820.3,5595.6,0.146597326470798
"880000","180400",13658.3,50721.6,0.269279754581874
"890000","180400",168.7,50721.6,0.0033259991798366
"900000","180400",7585.9,50721.6,0.149559556480868
"880000","190100",434.9,1601.3,0.271591831636795
"890000","190100",3.9,1601.3,0.0024355211390745
"900000","190100",174,1601.3,0.108661712358709
"880000","190200",893.3,5885.4,0.151782376728854
"890000","190200",18.4,5885.4,0.00312638053488293
"900000","190200",1554,5885.4,0.264043225609134
"880000","190301",148.9,529,0.281474480151229
"890000","190301",2.9,529,0.0054820415879017
"900000","190301",55.1,529,0.104158790170132
"880000","190302",342.7,1027,0.333690360272639
"890000","190302",8.4,1027,0.00817916260954236
"900000","190302",104.9,1027,0.102142161635833
"880000","190303",220.5,725.2,0.304054054054054
"890000","190303",2.2,725.2,0.00303364589078875
"900000","190303",238.8,725.2,0.329288472145615
"880000","190304",1335.6,4571,0.29218989280245
"890000","190304",22.6,4571,0.0049442135200175
"900000","190304",422.6,4571,0.0924524174141326
"880000","190305",121.5,299.8,0.40527018012008
"890000","190305",5,299.8,0.0166777851901268
"900000","190305",23.1,299.8,0.0770513675783856
"880000","190306",550.4,2348.6,0.234352380141361
"890000","190306",20,2348.6,0.0085157114876948
"900000","190306",211.3,2348.6,0.0899684918674955
"880000","200100",2000.6,15024.2,0.133158504279762
"890000","200100",212.8,15024.2,0.0141638157106535
"900000","200100",1964,15024.2,0.130722434472385
"880000","200200",3698.1,17111.5,0.216117815504193
"890000","200200",492.9,17111.5,0.0288051894924466
"900000","200200",1950.7,17111.5,0.113999357157467
